Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
f5e85608-c4b5-4843-ba3d-3911f03f7cb1,2019-05-17 08:21:58,Other,,6.67,2:21:09,21:10,2.83,352.0,42,,"","",2019-05-17-082158.gpx
01d5c9b5-4762-4337-9275-5b5190385189,2019-05-16 06:57:31,Other,,0.01,0:00,0:00,24948.00,0.0,0,,"","",2019-05-16-065731.gpx
2939e8c3-2ea7-4fee-8c56-eccfbb8d6855,2019-05-15 17:05:01,Other,,1.30,25:14,19:21,3.10,61.0,8,,"","",2019-05-15-170501.gpx
7fc5b374-8c79-49ee-80c2-32fd3ae1b013,2019-05-15 06:34:32,Running,,8.25,47:02,5:42,10.52,787.0,62,180,"","",2019-05-15-063432.gpx
b0dcd616-5685-460b-ab6b-ddc1860dca4d,2019-05-11 16:16:39,Running,,11.22,59:14,5:17,11.36,848.0,9,149,"","",2019-05-11-161639.gpx
ba6db3ee-6751-422d-8e05-6566421047f7,2019-04-21 08:33:04,Running,,42.65,4:34:10,6:26,9.33,3049.0,349,137,"","",2019-04-21-083304.gpx
a5f328ef-f2c1-460f-b648-fd1fd7609582,2019-04-17 14:30:04,Running,,6.41,35:16,5:30,10.90,485.0,73,134,"","",2019-04-17-143004.gpx
fb8ba491-2c6a-439e-9b77-56bdf76e5771,2019-04-16 13:52:15,Running,,5.02,27:35,5:29,10.93,383.0,69,158,"","",2019-04-16-135215.gpx
f403e309-9e65-4fbc-87ee-bfb91865812e,2019-04-14 13:06:38,Running,,13.01,1:15:00,5:46,10.41,987.0,157,128,"","",2019-04-14-130638.gpx
fe8b0788-0a6d-404b-bee9-603313188ab8,2019-04-13 15:23:59,Running,,5.00,27:23,5:29,10.96,378.0,60,133,"","",2019-04-13-152359.gpx
0f0ba36b-3c41-4b37-8249-632da0f2c33a,2019-04-11 15:41:05,Running,,8.04,43:20,5:23,11.14,613.0,109,129,"","",2019-04-11-154105.gpx
7e8e797f-bc1f-474d-b3f1-04c27b3a7ba5,2019-04-09 17:07:03,Running,,6.48,36:28,5:38,10.66,488.0,70,147,"","",2019-04-09-170703.gpx
4d03b34f-ce9e-4a83-8145-87bdb36bc56c,2019-04-07 13:28:08,Other,,4.71,2:23:02,30:21,1.98,390.0,77,,"","",2019-04-07-132808.gpx
49b776c8-ab50-4491-82a0-d3372566f0f1,2019-04-07 09:52:38,Other,,5.81,2:24:55,24:56,2.41,455.0,82,,"","",2019-04-07-095238.gpx
abe98352-a593-4910-b0fd-f1eaf59ae569,2019-04-06 13:08:37,Running,,19.21,1:53:45,5:55,10.13,1463.0,242,123,"","",2019-04-06-130837.gpx
b37a60e2-4fe6-4b75-b045-8a86b81496dd,2019-04-05 15:11:57,Running,,6.41,35:02,5:28,10.97,482.0,74,145,"","",2019-04-05-151157.gpx
2f697545-f272-41ff-8d25-2299fb2897f7,2019-04-04 15:47:32,Running,,8.07,43:30,5:24,11.13,620.0,119,137,"","",2019-04-04-154732.gpx
b80b2e72-f970-44c0-a395-fe8cc4e7b779,2019-04-03 14:16:07,Running,,10.04,53:05,5:17,11.35,800.0,228,142,"","",2019-04-03-141607.gpx
36bda740-4a3c-4186-aca2-ea9bdaca6e5c,2019-04-02 13:19:28,Running,,8.02,43:06,5:22,11.17,616.0,116,128,"","",2019-04-02-131928.gpx
7db398b3-a55a-4e5e-a1db-0e268b6b8b64,2019-03-31 12:25:21,Running,,32.00,3:17:16,6:10,9.73,2452.0,445,133,"","",2019-03-31-122521.gpx
d8943d0f-396a-4754-bdca-a72e7bad8a18,2019-03-30 13:00:47,Other,,4.89,2:11:36,26:56,2.23,417.0,78,,"","",2019-03-30-130047.gpx
ed773516-07cf-4d94-b0f2-43aaf324b080,2019-03-30 09:45:34,Other,,5.50,2:21:49,25:46,2.33,431.0,81,,"","",2019-03-30-094534.gpx
0edef2fe-394e-4d8f-8dff-082b00ba6bdf,2019-03-28 17:17:30,Running,,8.03,44:31,5:32,10.83,613.0,112,130,"","",2019-03-28-171730.gpx
aac21b7e-b0e7-489e-9a55-f7ab31861c1e,2019-03-27 14:03:29,Running,,12.79,1:09:04,5:24,11.11,981.0,189,138,"","",2019-03-27-140329.gpx
073734bb-39d1-4c34-9663-1b06a8b05c14,2019-03-26 15:04:48,Running,,8.09,45:04,5:34,10.77,612.0,101,,"","",2019-03-26-150448.gpx
5a12cab6-75b3-42b4-bfbd-fb594c47a931,2019-03-24 12:36:05,Running,,20.82,2:12:26,6:22,9.43,1608.0,345,,"","",2019-03-24-123605.gpx
0f5f4c43-13d0-4b0e-b312-4202cf5772ea,2019-03-23 14:45:40,Running,,12.87,1:09:59,5:26,11.03,984.0,191,138,"","",2019-03-23-144540.gpx
dd52343a-9eb4-453a-8bba-7143d5d5f720,2019-03-21 14:52:36,Running,,8.12,45:52,5:39,10.62,622.0,123,134,"","",2019-03-21-145236.gpx
740a6655-10e4-4d66-a2c9-dd093040b604,2019-03-20 14:20:09,Running,,1.35,7:58,5:55,10.15,101.0,18,210,"","",2019-03-20-142009.gpx
9b4eaddb-994e-4c10-9dd9-f2c169ae351f,2019-03-20 13:38:26,Running,,6.72,37:10,5:32,10.85,513.0,97,167,"","",2019-03-20-133826.gpx
5f1b92ad-e632-40a8-9351-690d6933aae6,2019-03-19 13:07:01,Running,,8.16,45:33,5:35,10.75,620.0,113,127,"","",2019-03-19-130701.gpx
267b324f-f18b-4a99-a306-6ee52395c778,2019-03-17 12:39:22,Running,,31.98,3:17:59,6:11,9.69,2448.0,427,119,"","",2019-03-17-123922.gpx
019d7787-cdb0-4fc2-821c-36d8873c1db0,2019-03-16 14:16:52,Running,,8.05,43:46,5:26,11.04,606.0,88,,"","",2019-03-16-141652.gpx
1f9d6e46-f62a-4933-b990-a42e2d796894,2019-03-14 17:14:55,Running,,8.05,43:53,5:27,11.00,617.0,116,138,"","",2019-03-14-171455.gpx
ecb63328-bd67-4b20-a600-e1f84039d3da,2019-03-13 14:20:31,Running,,13.04,1:10:36,5:25,11.08,1037.0,289,141,"","",2019-03-13-142031.gpx
08c12f9f-f656-4ce1-af7e-efe628078390,2019-03-12 13:59:35,Running,,8.07,43:25,5:23,11.16,615.0,117,127,"","",2019-03-12-135935.gpx
efcea869-0aff-4bf6-abd4-1a7c6482bce6,2019-03-10 13:48:39,Running,,21.00,2:03:09,5:52,10.23,1594.0,270,129,"","",2019-03-10-134839.gpx
4abb021c-b835-4244-99cf-4e10e4a5e2a6,2019-03-06 16:43:56,Running,,8.09,44:04,5:27,11.02,616.0,115,123,"","",2019-03-06-164356.gpx
f3289f51-be97-4084-a220-c291c24b9718,2019-03-05 14:55:57,Running,,8.08,44:28,5:30,10.90,614.0,105,140,"","",2019-03-05-145557.gpx
64580814-85f9-48ae-8cc6-e767c6b240a2,2019-03-03 11:27:32,Running,,27.80,2:53:13,6:14,9.63,2126.0,361,133,"","",2019-03-03-112732.gpx
4bdf67f0-dcbb-4d7f-8d94-0fb2872cb298,2019-03-02 14:11:51,Running,,12.79,1:03:37,4:59,12.06,985.0,176,148,"","",2019-03-02-141151.gpx
1f8f5b7f-9607-4d5e-b3bf-2f047f3cd1f3,2019-02-27 14:26:38,Running,,12.91,1:12:19,5:36,10.71,984.0,191,129,"","",2019-02-27-142638.gpx
3b8f54f0-f037-4bf2-ae91-71222544c80f,2019-02-24 15:01:47,Downhill Skiing,,4.58,24:46,5:25,11.09,76.0,104,88,"","",2019-02-24-150147.gpx
f8d35651-316b-44b8-b480-f243dd9fa56d,2019-02-24 12:02:18,Downhill Skiing,,7.41,27:37,3:44,16.10,97.0,2,89,"","",2019-02-24-120218.gpx
00381d10-c87a-4398-a92f-e4dfcc031b68,2019-02-24 09:11:42,Downhill Skiing,,7.61,1:06:58,8:48,6.81,104.0,0,92,"","",2019-02-24-091142.gpx
fd18e874-4e98-4a9c-9806-4ddf326d957e,2019-02-23 11:03:21,Downhill Skiing,,8.23,34:22,4:10,14.37,136.0,0,106,"","",2019-02-23-110321.gpx
7b83ea06-d383-418c-a9be-729f76359e21,2019-02-21 13:09:53,Running,,27.41,2:35:54,5:41,10.55,2116.0,483,132,"","",2019-02-21-130953.gpx
c129959a-a94b-4911-912f-cb1b2a949079,2019-02-20 14:39:00,Running,,12.89,1:12:06,5:36,10.72,988.0,194,136,"","",2019-02-20-143900.gpx
9ea55065-172c-43e1-8359-463d62623e0a,2019-02-17 12:47:20,Running,,17.75,1:38:34,5:33,10.80,1379.0,320,139,"","",2019-02-17-124720.gpx
016eba2d-d92a-419c-abf6-9a5624e1015a,2019-02-16 15:09:19,Running,,12.93,1:09:02,5:20,11.24,995.0,221,138,"","",2019-02-16-150919.gpx
aeec1252-ee8f-4cba-b101-b43050a2de59,2019-02-14 14:37:56,Running,,8.13,45:04,5:33,10.82,618.0,119,125,"","",2019-02-14-143756.gpx
15a1650f-fc59-49ae-8ffe-8602b0b9917e,2019-02-13 16:04:08,Downhill Skiing,,3.09,13:46,4:27,13.47,50.0,7,104,"","",2019-02-13-160408.gpx
625d649a-42ff-46f7-9082-2894839cc8af,2019-02-13 13:43:17,Downhill Skiing,,2.72,16:19,5:59,10.02,45.0,0,81,"","",2019-02-13-134317.gpx
499fcfa0-aac8-452a-83ce-9a19ba5fade3,2019-02-13 09:00:04,Downhill Skiing,,10.38,59:00,5:41,10.56,183.0,16,82,"","",2019-02-13-090004.gpx
9980e3af-a4ff-4b00-8187-7b9d0b85bdf1,2019-02-12 15:56:10,Running,,6.47,38:26,5:57,10.10,483.0,74,131,"","",2019-02-12-155610.gpx
f48d7641-359f-4af5-9c1c-bfe6a24679cc,2019-02-10 13:04:47,Running,,24.02,2:17:10,5:43,10.50,1847.0,345,135,"","",2019-02-10-130447.gpx
a50c1fca-6b5e-4a68-b8dd-3a9ec00b6572,2019-02-09 14:31:49,Running,,11.31,58:30,5:10,11.60,866.0,163,136,"","",2019-02-09-143149.gpx
8cfee5f9-0f9d-4ed9-8323-56f1b09a7b52,2019-02-07 13:15:16,Other,,5.73,1:59:20,20:49,2.88,439.0,95,,"","",2019-02-07-131516.gpx
fcd7e4fd-7032-4058-b541-9fa740df484d,2019-02-07 09:46:14,Other,,4.80,2:23:33,29:53,2.01,389.0,79,,"","",2019-02-07-094614.gpx
8a870589-8aa4-4203-9859-2406ac8b2d50,2019-02-05 15:33:46,Running,,6.46,37:40,5:50,10.29,488.0,78,126,"","",2019-02-05-153346.gpx
ce5b5a6f-cde2-4a56-88ee-4697cb142a8b,2019-02-02 17:04:49,Running,,22.42,2:22:31,6:21,9.44,1634.0,28,165,"","",2019-02-02-170449.gpx
22ed5d58-cc78-4e08-ba46-914307fb8b79,2019-02-01 16:21:25,Running,,11.19,1:08:38,6:08,9.78,831.0,57,,"","",2019-02-01-162125.gpx
60e67577-0ecd-4176-8641-111e7e10353b,2019-01-30 15:22:55,Running,,6.38,35:40,5:35,10.73,462.0,12,180,"","",2019-01-30-152255.gpx
c1809fc0-8ad4-40ac-9e52-ef3d72aa22cd,2019-01-29 15:29:27,Running,,3.78,32:30,8:36,6.98,233.0,5,168,"","",2019-01-29-152927.gpx
a8453cff-b84e-454b-ac18-4abdcb9c1fa6,2019-01-29 14:42:56,Running,,7.49,41:17,5:31,10.89,556.0,55,150,"","",2019-01-29-144256.gpx
8c588129-8349-4c11-b80d-8ee1a8db2eed,2019-01-28 15:50:19,Running,,6.47,34:20,5:18,11.31,468.0,11,132,"","",2019-01-28-155019.gpx
6acc627c-d3a7-46a1-a48e-dc2f47ab1b38,2019-01-26 12:13:05,Running,,7.43,39:49,5:22,11.19,579.0,132,148,"","",2019-01-26-121305.gpx
ce77257d-deef-4400-8b87-e4baf8dc0c57,2019-01-26 11:29:47,Running,,7.68,38:55,5:04,11.84,590.0,113,143,"","",2019-01-26-112947.gpx
febee66d-2641-4089-8ff2-a16ccec7f1ca,2019-01-25 15:27:32,Running,,5.00,27:07,5:25,11.07,378.0,56,150,"","",2019-01-25-152732.gpx
b37ab9a6-c287-4c43-b55d-d18d6b1a8b2a,2019-01-24 13:54:46,Running,,10.06,55:29,5:31,10.88,770.0,156,133,"","",2019-01-24-135446.gpx
33fedac8-6f93-4d63-afe9-79e01a4b0a20,2019-01-23 13:17:33,Other,,4.90,2:29:10,30:26,1.97,414.0,103,,"","",2019-01-23-131733.gpx
2581744c-5f67-4047-b834-d1804b96e275,2019-01-23 09:54:12,Other,,4.62,2:17:40,29:50,2.01,382.0,91,,"","",2019-01-23-095412.gpx
29b060cb-d5db-424a-828a-d6a0e99338a9,2019-01-22 15:41:43,Running,,5.01,26:12,5:14,11.47,379.0,57,156,"","",2019-01-22-154143.gpx
efde52aa-2dc6-4994-b1a5-9bd16f7d92f2,2019-01-20 13:12:17,Running,,19.18,1:49:48,5:43,10.48,1456.0,252,141,"","",2019-01-20-131217.gpx
afc54ccf-824b-46ad-bb8d-35b2a2342a9f,2019-01-19 14:23:02,Running,,10.18,56:51,5:35,10.75,760.0,114,134,"","",2019-01-19-142302.gpx
3e49d27e-468f-4621-8560-1e0b5423e466,2019-01-17 16:05:24,Running,,5.02,28:40,5:43,10.50,379.0,56,125,"","",2019-01-17-160524.gpx
89d2a5e2-9416-4f2e-a091-0625208f244d,2019-01-16 13:56:12,Running,,10.09,56:35,5:36,10.70,771.0,137,130,"","",2019-01-16-135612.gpx
def3102c-80e5-44e1-9c6c-dc993c0d8902,2019-01-15 15:40:44,Running,,5.04,29:10,5:47,10.37,381.0,57,130,"","",2019-01-15-154044.gpx
9d758b5d-be5e-412a-ae79-24ded9591382,2019-01-13 14:11:40,Running,,17.83,1:39:30,5:35,10.75,1374.0,287,,"","",2019-01-13-141140.gpx
d8ca35c0-d5a8-4182-b59a-9dabf1cc8072,2019-01-12 13:05:45,Other,,4.32,2:12:30,30:39,1.96,329.0,40,,"","",2019-01-12-130545.gpx
29ab2714-c18c-4b14-b68e-577f1ec710d5,2019-01-12 09:42:35,Other,,4.67,2:26:25,31:22,1.91,365.0,44,,"","",2019-01-12-094235.gpx
350f60e4-8f55-443a-96c0-78ba022732b7,2019-01-11 14:12:33,Running,,10.05,53:43,5:21,11.23,762.0,124,,"","",2019-01-11-141233.gpx
6e267e91-07a6-45c7-8188-859886a6e7f3,2019-01-09 16:27:00,Running,,10.06,55:57,5:34,10.79,765.0,132,,"","",2019-01-09-162700.gpx
6aaee942-9c95-4fb6-97b7-aee112dc9f07,2019-01-08 17:11:41,Running,,5.04,29:27,5:51,10.26,379.0,52,,"","",2019-01-08-171141.gpx
17f8d1a5-37a3-498a-bdb8-bc7db204b186,2019-01-06 14:25:49,Running,,10.01,55:07,5:30,10.90,757.0,120,133,"","",2019-01-06-142549.gpx
06171195-8b4d-4d62-aec7-54cabbd0a577,2019-01-05 15:24:34,Running,,8.12,44:57,5:32,10.84,608.0,102,127,"","",2019-01-05-152434.gpx
5d08dc72-260d-4b7e-82ed-2ffd423fd7e0,2019-01-04 14:47:47,Running,,5.01,28:12,5:38,10.65,378.0,60,122,"","",2019-01-04-144747.gpx
2178ccd8-0670-4a60-be04-b34af029f34e,2019-01-02 15:23:03,Running,,8.08,44:53,5:33,10.81,618.0,127,137,"","",2019-01-02-152303.gpx
