Tournament,Group,Golfer,Current OWGR,Last Week OWGR,End of last year OWGR,Recent Tournament 1,Recent Toounament 1 result,Recent Tournament 2,Recent Toounament 2 result,Recent Tournament 3,Recent Toounament 3 result,Recent Tournament 4,Recent Toounament 4 result
AT&T Byron Nelson,2,Will Zalatoris,30,28,59,RBC Heritage,T42,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,2,Ryan Palmer,31,29,30,RBC Heritage,DNP,Zurich Classic of New Orleans,7,Valspar Championship,T63,Wells Fargo Championship,DNP
AT&T Byron Nelson,2,Marc Leishman,38,38,29,RBC Heritage,DNP,Zurich Classic of New Orleans,1,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,2,Sam Burns,44,44,154,RBC Heritage,T39,Zurich Classic of New Orleans,T4,Valspar Championship,1,Wells Fargo Championship,DNP
AT&T Byron Nelson,2,Sergio Garcia,46,47,46,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,2,Matt Kuchar,49,49,37,RBC Heritage,T18,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,2,Si Woo Kim,50,50,95,RBC Heritage,T33,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,2,Carlos Ortiz,54,51,61,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T65
AT&T Byron Nelson,2,Jason Day,62,59,43,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,2,Sebastián Muñoz,68,67,60,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,3,Antoine Rozner,70,70,120,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,3,Talor Gooch,73,73,81,RBC Heritage,DNP,Zurich Classic of New Orleans,T17,Valspar Championship,CUT,Wells Fargo Championship,T26
AT&T Byron Nelson,3,Erik van Rooyen,75,72,51,RBC Heritage,DNP,Zurich Classic of New Orleans,T17,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,3,John Catlin,78,76,99,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,3,Thomas Pieters,88,88,84,RBC Heritage,DNP,Zurich Classic of New Orleans,T8,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,3,Cameron Champ,89,92,71,RBC Heritage,DNP,Zurich Classic of New Orleans,T17,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,3,Martin Laird,95,96,85,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,DNP
AT&T Byron Nelson,3,Alex Noren,102,101,94,RBC Heritage,T25,Zurich Classic of New Orleans,T21,Valspar Championship,T21,Wells Fargo Championship,DNP
AT&T Byron Nelson,3,Tom Hoge,108,108,106,RBC Heritage,T25,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,3,Tom Lewis,112,110,73,RBC Heritage,T25,Zurich Classic of New Orleans,T8,Valspar Championship,T48,Wells Fargo Championship,CUT
AT&T Byron Nelson,4,Rickie Fowler,122,116,53,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,4,Brandt Snedeker,127,125,98,RBC Heritage,T42,Zurich Classic of New Orleans,T4,Valspar Championship,T11,Wells Fargo Championship,DNP
AT&T Byron Nelson,4,Charles Howell III,128,126,111,RBC Heritage,T18,Zurich Classic of New Orleans,DNP,Valspar Championship,T39,Wells Fargo Championship,DNP
AT&T Byron Nelson,4,Aaron Wise,130,154,125,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T9
AT&T Byron Nelson,4,Rafa Cabrera Bello,131,129,102,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,4,K.H. Lee,137,136,272,RBC Heritage,T56,Zurich Classic of New Orleans,T23,Valspar Championship,T29,Wells Fargo Championship,T58
AT&T Byron Nelson,4,Andrew Landry,138,133,105,RBC Heritage,T33,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,DNP
AT&T Byron Nelson,4,Andrew Putnam,142,142,198,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,T43
AT&T Byron Nelson,4,Rory Sabbatini,143,134,117,RBC Heritage,51,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,4,Luke List,145,175,176,RBC Heritage,58,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,T6
AT&T Byron Nelson,5,Harry Higgs,148,140,121,RBC Heritage,T59,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,5,Wyndham Clark,149,149,147,RBC Heritage,64,Zurich Classic of New Orleans,T17,Valspar Championship,T60,Wells Fargo Championship,T43
AT&T Byron Nelson,5,Nate Lashley,152,147,119,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,5,James Hahn,153,148,248,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,5,Sepp Straka,154,152,142,RBC Heritage,T59,Zurich Classic of New Orleans,T29,Valspar Championship,DNP,Wells Fargo Championship,T54
AT&T Byron Nelson,5,Keith Mitchell,156,249,184,RBC Heritage,DNP,Zurich Classic of New Orleans,T4,Valspar Championship,69,Wells Fargo Championship,T3
AT&T Byron Nelson,5,Charl Schwartzel,157,177,206,RBC Heritage,DNP,Zurich Classic of New Orleans,2,Valspar Championship,T21,Wells Fargo Championship,T14
AT&T Byron Nelson,5,C.T. Pan,162,164,145,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,T18
AT&T Byron Nelson,5,Doc Redman,168,162,89,RBC Heritage,CUT,Zurich Classic of New Orleans,T17,Valspar Championship,T39,Wells Fargo Championship,CUT
AT&T Byron Nelson,5,Troy Merritt,169,159,151,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,T8,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Mark Hubbard,175,171,139,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Danny Lee,178,174,140,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,T21,Wells Fargo Championship,WD
AT&T Byron Nelson,6,Jhonattan Vegas,181,187,216,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,T48,Wells Fargo Championship,T43
AT&T Byron Nelson,6,Tyler Duncan,183,180,146,RBC Heritage,CUT,Zurich Classic of New Orleans,T11,Valspar Championship,T39,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Sung Kang,184,156,86,RBC Heritage,65,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Scott Piercy,185,213,141,RBC Heritage,62,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,T11
AT&T Byron Nelson,6,Hudson Swafford,189,190,194,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Patton Kizzire,191,188,236,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,T60,Wells Fargo Championship,T58
AT&T Byron Nelson,6,Vaughn Taylor,198,193,180,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,T6,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Sam Ryder,200,195,318,RBC Heritage,DNP,Zurich Classic of New Orleans,T17,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Ryan Moore,202,205,171,RBC Heritage,T52,Zurich Classic of New Orleans,DNP,Valspar Championship,T39,Wells Fargo Championship,T54
AT&T Byron Nelson,6,Brian Stuard,203,211,185,RBC Heritage,T18,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,T37
AT&T Byron Nelson,6,Russell Knox,204,218,225,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,T21,Wells Fargo Championship,T18
AT&T Byron Nelson,6,Camilo Villegas,213,208,404,RBC Heritage,T25,Zurich Classic of New Orleans,DNP,Valspar Championship,T11,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Patrick Rodgers,216,223,230,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,T37
AT&T Byron Nelson,6,Will Gordon,217,208,228,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Pat Perez,229,241,209,RBC Heritage,CUT,Zurich Classic of New Orleans,T21,Valspar Championship,T29,Wells Fargo Championship,T26
AT&T Byron Nelson,6,Adam Schenk,230,224,238,RBC Heritage,T25,Zurich Classic of New Orleans,T11,Valspar Championship,T18,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Peter Uihlein,234,247,493,RBC Heritage,DNP,Zurich Classic of New Orleans,3,Valspar Championship,T57,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Doug Ghim,236,231,387,RBC Heritage,T33,Zurich Classic of New Orleans,T11,Valspar Championship,CUT,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Austin Cook,238,229,190,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Brice Garnett,243,235,271,RBC Heritage,T52,Zurich Classic of New Orleans,T11,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Bo Hoag,247,240,297,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Padraig Harrington,253,246,304,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Ryan Armour,257,249,237,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Scott Stallings,269,279,245,RBC Heritage,CUT,Zurich Classic of New Orleans,T11,Valspar Championship,T29,Wells Fargo Championship,T43
AT&T Byron Nelson,6,Rafael Campos,270,269,699,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Tyler McCumber,274,271,278,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Kris Ventura,278,267,176,RBC Heritage,DNP,Zurich Classic of New Orleans,T25,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Scott Brown,283,276,240,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,T39,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Joseph Bramlett,298,291,284,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,T63,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Cameron Percy,299,294,335,RBC Heritage,DNP,Zurich Classic of New Orleans,33,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Ben Martin,301,410,490,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,T11
AT&T Byron Nelson,6,Chesson Hadley,302,289,252,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Bronson Burgoon,317,312,338,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,T13,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,John Huh,321,315,369,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Xinjun Zhang,324,316,181,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Hank Lebioda,332,336,328,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,T13,Wells Fargo Championship,T51
AT&T Byron Nelson,6,Anirban Lahiri,333,330,435,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Kramer Hickok,336,341,361,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,T57,Wells Fargo Championship,T51
AT&T Byron Nelson,6,"Ted Potter, Jr.",351,344,446,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,T18,Wells Fargo Championship,T72
AT&T Byron Nelson,6,Roger Sloan,365,355,346,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,T58
AT&T Byron Nelson,6,Scott Harrington,369,358,330,RBC Heritage,T42,Zurich Classic of New Orleans,CUT,Valspar Championship,DQ,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Wesley Bryan,371,363,548,RBC Heritage,T25,Zurich Classic of New Orleans,DNP,Valspar Championship,T48,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Grayson Murray,373,361,561,RBC Heritage,DNP,Zurich Classic of New Orleans,T25,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Satoshi Kodaira,374,485,396,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,T11
AT&T Byron Nelson,6,Fabián Gómez,379,366,288,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Beau Hossler,382,369,286,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,T39,Wells Fargo Championship,77
AT&T Byron Nelson,6,Vincent Whaley,384,421,454,RBC Heritage,DNP,Zurich Classic of New Orleans,T29,Valspar Championship,T29,Wells Fargo Championship,T26
AT&T Byron Nelson,6,Michael Gligic,387,377,444,RBC Heritage,CUT,Zurich Classic of New Orleans,T29,Valspar Championship,T29,Wells Fargo Championship,T58
AT&T Byron Nelson,6,Josh Teater,392,379,336,RBC Heritage,DNP,Zurich Classic of New Orleans,T29,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Wes Roach,403,386,376,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Rob Oppenheim,429,420,450,RBC Heritage,DNP,Zurich Classic of New Orleans,T25,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Kiradech Aphibarnrat,435,414,273,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Seamus Power,437,448,429,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T54
AT&T Byron Nelson,6,J.B. Holmes,443,425,235,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,68,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Jamie Lovemark,455,451,892,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Zack Sucher,463,450,320,RBC Heritage,DNP,Zurich Classic of New Orleans,32,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Kevin Tway,469,457,363,RBC Heritage,T48,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,T72
AT&T Byron Nelson,6,Aaron Baddeley,473,469,406,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,J.J. Spaun,478,584,476,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,T18
AT&T Byron Nelson,6,Nick Watney,489,480,353,RBC Heritage,CUT,Zurich Classic of New Orleans,T11,Valspar Championship,CUT,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Ryan Brehm,495,488,434,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,David Hearn,501,487,453,RBC Heritage,DNP,Zurich Classic of New Orleans,32,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Jimmy Walker,510,496,421,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,T29,Wells Fargo Championship,T72
AT&T Byron Nelson,6,Tim Wilkinson,513,502,461,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Nelson Ledesma,530,554,505,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Chris Baker,536,520,428,RBC Heritage,DNP,Zurich Classic of New Orleans,31,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Sebastian Cappelen,547,530,406,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Ryan Lumsden,556,548,757,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,D.J. Trahan,568,545,447,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,76
AT&T Byron Nelson,6,K.J. Choi,577,560,538,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,T70
AT&T Byron Nelson,6,Kevin Chappell,581,566,708,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Rhein Gibson,592,572,508,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Bo Van Pelt,600,585,1894,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,T39,Wells Fargo Championship,T65
AT&T Byron Nelson,6,Shawn Stefani,654,706,528,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Bill Haas,656,640,604,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Luke Donald,658,635,499,RBC Heritage,CUT,Zurich Classic of New Orleans,DNP,Valspar Championship,T54,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Sean O'Hair,660,809,722,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,T37
AT&T Byron Nelson,6,Greg Chalmers,672,661,720,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Kelly Kraft,677,648,445,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Mark Anderson,682,665,459,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,MJ Daffue,705,695,662,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Roberto Castro,716,702,706,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Michael Gellerman,742,733,612,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Jonathan Byrd,750,728,566,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Matt Every,772,748,475,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Jonas Blixt,884,845,540,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,CUT,Wells Fargo Championship,T65
AT&T Byron Nelson,6,Johnson Wagner,987,953,667,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,T58
AT&T Byron Nelson,6,Ben Taylor,988,974,763,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Martin Trainer,1003,1000,679,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,Dominic Bozzelli,1043,1016,732,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Ricky Barnes,1129,1125,1077,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,John Lyras,1153,1156,1894,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Hunter Mahan,1291,1833,1514,RBC Heritage,CUT,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,T54
AT&T Byron Nelson,6,Ryan Blaum,1303,1267,926,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Michael Kim,1409,1406,1802,RBC Heritage,WD,Zurich Classic of New Orleans,28,Valspar Championship,CUT,Wells Fargo Championship,CUT
AT&T Byron Nelson,6,J.J. Henry,1644,1613,1321,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Cole Hammer,1855,1859,1894,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Tom Lovelady,1855,1859,1752,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Dylan Meyer,1855,1859,1835,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,John Senden,1855,1859,1773,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Kevin Stadler,1855,1859,1894,RBC Heritage,DNP,Zurich Classic of New Orleans,CUT,Valspar Championship,CUT,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Tyler Strafaci,1855,1859,1894,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Pierceson Coody,9999,9999,9999,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
AT&T Byron Nelson,6,Shane Pearce,9999,9999,9999,RBC Heritage,DNP,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP
